Building populated grid (0.1 deg, city-radius=1)...
  15711 unique cells x 2 categories = 31422 reference calls.

  0 (cell,category) pairs already cached; resuming.

[8900/15711 cells] made=17799 skip=0 err=1 ~4985/hr
[8950/15711 cells] made=17899 skip=0 err=1 ~4985/hr
[9000/15711 cells] made=17999 skip=0 err=1 ~4985/hr
[9050/15711 cells] made=18099 skip=0 err=1 ~4985/hr
[9100/15711 cells] made=18199 skip=0 err=1 ~4985/hr
[9150/15711 cells] made=18299 skip=0 err=1 ~4985/hr
[9200/15711 cells] made=18399 skip=0 err=1 ~4985/hr
[9250/15711 cells] made=18499 skip=0 err=1 ~4985/hr
[9300/15711 cells] made=18599 skip=0 err=1 ~4985/hr
[9350/15711 cells] made=18699 skip=0 err=1 ~4985/hr
[9400/15711 cells] made=18799 skip=0 err=1 ~4985/hr
[9450/15711 cells] made=18899 skip=0 err=1 ~4985/hr
[9500/15711 cells] made=18999 skip=0 err=1 ~4985/hr
[9550/15711 cells] made=19099 skip=0 err=1 ~4985/hr
[9600/15711 cells] made=19199 skip=0 err=1 ~4985/hr
[9650/15711 cells] made=19299 skip=0 err=1 ~4985/hr
[9700/15711 cells] made=19399 skip=0 err=1 ~4985/hr
[9750/15711 cells] made=19499 skip=0 err=1 ~4985/hr
[9800/15711 cells] made=19599 skip=0 err=1 ~4986/hr
[9850/15711 cells] made=19699 skip=0 err=1 ~4986/hr
[9900/15711 cells] made=19799 skip=0 err=1 ~4986/hr
[9950/15711 cells] made=19899 skip=0 err=1 ~4986/hr
[10000/15711 cells] made=19999 skip=0 err=1 ~4986/hr
[10050/15711 cells] made=20099 skip=0 err=1 ~4986/hr
[10100/15711 cells] made=20199 skip=0 err=1 ~4986/hr
[10150/15711 cells] made=20299 skip=0 err=1 ~4985/hr
[10200/15711 cells] made=20399 skip=0 err=1 ~4986/hr
[10250/15711 cells] made=20499 skip=0 err=1 ~4986/hr
[10300/15711 cells] made=20599 skip=0 err=1 ~4986/hr
[10350/15711 cells] made=20699 skip=0 err=1 ~4986/hr
